Model, First flight, Seats, Fuel burn Km, Fuel burn Miles, Fuel per seat, Fuel per seat MPG
Airbus A330-200, 1997, 293, 5.6, 19.8lb/mi, 2.37, 99
Antonov An-148, 1190 nmi, 2004, 89, 2.75, 9.8lb/mi, 3.86, 60.9
Antonov An-158, 1190 nmi, 2010, 99, 2.83, 10.0lb/mi, 3.57, 65.9
Boeing 737-600, 1998, 110, 2.77, 9.8lb/mi, 3.15, 75
Boeing 737-700, 1997, 126, 2.82, 10.0lb/mi, 2.79, 84
Boeing 737-700, 1997, 128, 2.8, 9.9lb/mi, 2.71, 87
Boeing 737 MAX-7, 2017, 140, 2.51, 8.91lb/mi, 1.94, 121
Boeing 737-800, 1997, 162, 3.17, 11.2lb/mi, 2.44, 96
Boeing 737-800, 1997, 160, 3.45, 12.23lb/mi, 2.68, 88
Boeing 737-800W, 1997, 162, 3.18, 11.3lb/mi, 2.45, 96
Boeing 737 MAX-8, 2017, 162, 2.71, 9.6lb/mi, 2.04, 115
Boeing 737-900ER, 2006, 180, 3.42, 12.1lb/mi, 2.38, 99
Boeing 737-900ERW, 2006, 180, 3.42, 12.1lb/mi, 2.37, 99
Boeing 737 MAX-9, 2017, 180, 2.91, 10.3lb/mi, 2.02, 116
Boeing 757-200, 1982, 190, 4.60, 16.33lb/mi, 3.02, 78
Boeing 757-200, 1982, 200, 4.16, 14.76lb/mi, 2.59, 90.8
Boeing 757-300, 1998, 243, 4.68, 16.62lb/mi, 2.40, 98
Boeing 787-8, 2009, 248, 5.50, 19.5lb/mi, 2.77, 85
Boeing 787-9, 2013, 296, 5.67, 20.1lb/mi, 2.39, 98
Boeing 787-10, 2017, 336, 6.09, 21.6lb/mi, 2.27, 104
Quest Kodiak, 2004, 9, 0.71, 2.52lb/mi, 6.28, 37.5
Airbus A220-300, 2015, 150, 2.42, 8.59lb/mi, 2.02, 116
Airbus A320, 1987, 150, 2.91, 10.3lb/mi, 2.43, 97
Airbus A321LR, 2016, 154, 2.99, 10.6lb/mi, 2.43, 97
Airbus A330-200, 1997, 241, 6, 21lb/mi, 3.11, 76
Airbus A330-300, 1992, 262, 6.25, 22.2lb/mi, 2.98, 79
Airbus A330-900, 2016, 310, 6, 21lb/mi, 2.42, 97
Airbus A340-300, 1992, 262, 6.81, 24.2lb/mi, 3.25, 72
Airbus A380, 2005, 544, 13.6, 48.4lb/mi, 3.14, 75
Boeing 737 MAX-8, 2017, 168, 2.86, 10.1lb/mi, 2.13, 110
Boeing 737 MAX-9, 2017, 144, 2.91, 10.3lb/mi, 2.53, 93
Boeing 747-400, 1988, 416, 10.77, 38.2lb/mi, 3.24, 73
Boeing 747-8, 2011, 467, 9.9, 35lb/mi, 2.65, 89
Boeing 757-200W, 1981, 158, 3.79, 13.4lb/mi, 3.00, 78
Boeing 767-200ER, 1984, 181, 4.83, 17.1lb/mi, 3.34, 70
Boeing 767-200ER, 1984, 193, 5.01, 17.8lb/mi, 3.25, 72
Boeing 767-200ER, 1984, 224, 4.93, 17.5lb/mi, 2.75, 86
Boeing 767-300ER, 1988, 218, 5.38, 19.1lb/mi, 3.09, 76
Boeing 767-300ER, 1988, 218, 5.39, 19.1lb/mi, 3.09, 76
Boeing 767-300ER, 1988, 269, 5.51, 19.5lb/mi, 2.56, 92
Boeing 767-400ER, 1999, 245, 5.78, 20.5lb/mi, 2.95, 80
Boeing 767-400ER, 1999, 304, 5.93, 21.0lb/mi, 2.44, 96
Boeing 767-400ER, 1999, 304, 5.92, 21lb/mi, 2.43, 96.9
