Bombardier CRJ200, 1995, 50, 1.8,  6.39, 4.49, 52.4
Bombardier CRJ700, 1999, 70, 2.45,  8.68, 4.36, 54
Bombardier CRJ900, 2001, 88, 2.78,  9.88, 3.94, 59.7
Bombardier CRJ1000, 2009, 100, 2.66,  9.4, 3.33, 71
Bombardier Dash 8 Q400, 1998, 74, 2.31,  8.2, 3.9, 60
Bombardier Dash 8 Q400, 1998, 74, 1.83,  6.5, 3.09, 76
Dornier 328, 1991, 31, 1.08,  3.8, 4.35, 54.1
Embraer E-Jet E2-175, 2020, 88, 2.44,  8.64, 3.44, 68.3
Embraer E-Jet E2-190, 2018, 106, 2.48,  8.8, 2.93, 80
Embraer E-Jet E2-190, 2018, 106, 2.83,  10.04, 3.32, 70.8
Embraer E-Jet E2-195, 2019, 132, 2.62,  9.3, 2.5, 94
Embraer E-Jet E2-195, 2019, 132, 3.07,  10.91, 2.9, 81
Embraer E-Jet-170, 2002, 80, 2.6,  9.3, 4.08, 57.7
Embraer E-Jet-175, 2005, 88, 2.8,  9.95, 3.97, 59.3
Embraer E-Jet-190, 2004, 114, 3.24,  11.48, 3.54, 66.5
Embraer E-Jet-195, 2004, 122, 3.21,  11.38, 3.28, 71.8
Embraer ERJ-135ER, 1998, 37, 1.44,  5.12, 4.86, 48.4
Embraer ERJ-145ER, 1996, 50, 1.55,  5.49, 3.86, 61
Pilatus PC-12, 1991, 9, 0.41,  1.5, 5.66, 41.6
Saab 340, 1983, 31, 0.95,  3.4, 3.83, 61.4
Saab 2000, 1992, 50, 1.54,  5.5, 3.85, 61.1
Sukhoi SSJ100, 2008, 98, 2.81,  10.0, 3.59, 65.5
Airbus A220-100, 2013, 125, 2.28,  8.1, 2.28, 103
Airbus A220-300, 2015, 135, 2.3,  8.17, 2.13, 110
Airbus A220-300, 2015, 150, 2.42,  8.6, 2.02, 116
Airbus A220-300, 2015, 160, 2.56,  9.08, 2, 118
Airbus A319, 1995, 124, 2.93,  10.4, 2.95, 80
Airbus A319neo, 2015, 136, 2.4,  8.6, 2.22, 106
Airbus A320, 1987, 150, 3.13,  11.1, 2.61, 90
Airbus A320neo, 2016, 180, 2.79,  9.9, 1.94, 121
Airbus A321-200, 1996, 180, 3.61,  12.8, 2.5, 94
Airbus A321neo, 2017, 220, 3.47,  12.3, 1.98, 119
Airbus A330-200, 1997, 293, 5.6,  19.8, 2.37, 99
Antonov An-148 (1190 nmi), 2004, 89, 2.75,  9.8, 3.86, 60.9
Boeing 737-600, 1998, 110, 2.77,  9.8, 3.15, 75
Boeing 737-700, 1997, 126, 2.82,  10.0, 2.79, 84
Boeing 737-700, 1997, 128, 2.8,  9.9, 2.71, 87
Boeing 737 MAX-7, 2017, 140, 2.51,  8.91, 1.94, 121
Boeing 737-800, 1997, 162, 3.17,  11.2, 2.44, 96
Boeing 737-800, 1997, 160, 3.45,  12.23, 2.68, 88
Boeing 737-800W, 1997, 162, 3.18,  11.3, 2.45, 96
Boeing 737 MAX-8, 2017, 162, 2.71,  9.6, 2.04, 115
Boeing 737-900ER, 2006, 180, 3.42,  12.1, 2.38, 99
Boeing 737-900ERW, 2006, 180, 3.42,  12.1, 2.37, 99
Boeing 737 MAX-9, 2017, 180, 2.91,  10.3, 2.02, 116
Boeing 757-200, 1982, 190, 4.6,  16.33, 3.02, 78
Boeing 757-200, 1982, 200, 4.16,  14.76, 2.59, 90.8
Boeing 757-300, 1998, 243, 4.68,  16.62, 2.4, 98
Boeing 787-8, 2009, 248, 5.5,  19.5, 2.77, 85
Boeing 787-9, 2013, 296, 5.67,  20.1, 2.39, 98
Boeing 787-10, 2017, 336, 6.09,  21.6, 2.27, 104
Quest Kodiak, 2004, 9, 0.71,  2.52, 6.28, 37.5
Airbus A220-300, 2015, 150, 2.42,  8.59, 2.02, 116
Airbus A320, 1987, 150, 2.91,  10.3, 2.43, 97
Airbus A321LR, 2016, 154, 2.99,  10.6, 2.43, 97
Airbus A330-200, 1997, 241, 6,  21, 3.11, 76
Airbus A330-300, 1992, 262, 6.25,  22.2, 2.98, 79
Airbus A330-900, 2016, 310, 6,  21, 2.42, 97
Airbus A340-300, 1992, 262, 6.81,  24.2, 3.25, 72
Airbus A380, 2005, 544, 13.6,  48.4, 3.14, 75
Boeing 737 MAX-8, 2017, 168, 2.86,  10.1, 2.13, 110
Boeing 737 MAX-9, 2017, 144, 2.91,  10.3, 2.53, 93
Boeing 747-400, 1988, 416, 10.77,  38.2, 3.24, 73
Boeing 747-8, 2011, 467, 9.9,  35, 2.65, 89
Boeing 757-200W, 1981, 158, 3.79,  13.4, 3, 78
Boeing 767-200ER, 1984, 181, 4.83,  17.1, 3.34, 70
Boeing 767-200ER, 1984, 193, 5.01,  17.8, 3.25, 72
